Current measurements:
dvdd vdd vprech
0.0 0.00019 0.0 0.00019
1.0 0.00019 0.0 0.00019
2.0 0.00019 0.0 0.00019
3.0 0.00019 0.0 0.00019
4.0 0.00019 0.0 0.00019
5.0 0.00019 0.0 0.00019
6.0 0.00019 0.0 0.00019
7.0 0.00019 0.0 0.00019
8.0 0.00019 0.0 0.00019
9.0 0.00019 0.0 0.00019
10.0 0.00019 0.0 0.00019
11.0 0.00019 0.0 0.00019
12.0 0.00019 0.0 0.00019
13.0 0.00019 0.0 0.00019
14.0 0.00019 0.0 0.00019
15.0 0.00019 0.0 0.00019
16.0 0.00019 0.0 0.00019
17.0 0.00019 0.0 0.00019
18.0 0.00019 0.0 0.00019
19.0 0.00019 0.0 0.00019
20.0 0.00019 0.0 0.00019
21.0 0.00019 0.0 0.00019
22.0 0.00019 0.0 0.00019
23.0 0.00019 0.0 0.00019
24.0 0.00019 0.0 0.00019
25.0 0.00019 0.0 0.00019
26.0 0.00019 0.0 0.00019
27.0 0.00019 0.0 0.00019
28.0 0.00019 0.0 0.00019
29.0 0.00019 0.0 0.00019
30.0 0.00019 0.0 0.00019
31.0 0.00019 0.0 0.00019
32.0 0.00019 0.0 0.00019
33.0 0.00019 0.0 0.00019
34.0 0.00019 0.0 0.00019
35.0 0.00019 0.0 0.00019
36.0 0.00019 0.0 0.00019
37.0 0.00019 0.0 0.00019
38.0 0.00019 0.0 0.00019
39.0 0.00019 0.0 0.00019
40.0 0.00019 0.0 0.00019
41.0 0.00019 0.0 0.00019
42.0 0.00019 0.0 0.00019
43.0 0.00019 0.0 0.00019
44.0 0.00019 0.0 0.00019
45.0 0.00019 0.0 0.00019
46.0 0.00019 0.0 0.00019
47.0 0.00019 0.0 0.00019
48.0 0.00019 0.0 0.00019
49.0 0.00019 0.0 0.00019
50.0 0.00019 0.0 0.00019
51.0 0.00019 0.0 0.00019
52.0 0.00019 0.0 0.00019
53.0 0.00019 0.0 0.00019
54.0 0.00019 0.0 0.00019
55.0 0.00019 0.0 0.00019
56.0 0.00019 0.0 0.00019
57.0 0.00019 0.0 0.00019
58.0 0.00019 0.0 0.00019
59.0 0.00019 0.0 0.00019
60.0 0.00019 0.0 0.00019
61.0 0.00019 0.0 0.00019
62.0 0.00019 0.0 0.00019
63.0 0.00019 0.0 0.00019
64.0 0.00019 0.0 0.00019
65.0 0.00019 0.0 0.00019
66.0 0.00019 0.0 0.00019
67.0 0.00019 0.0 0.00019
68.0 0.00019 0.0 0.00019
69.0 0.00019 0.0 0.00019
70.0 0.00019 0.0 0.00019
71.0 0.00019 0.0 0.00019
72.0 0.00019 0.0 0.00019
73.0 0.00019 0.0 0.00019
74.0 0.00019 0.0 0.00019
75.0 0.00019 0.0 0.00019
76.0 0.00019 0.0 0.00019
77.0 0.00019 0.0 0.00019
78.0 0.00019 0.0 0.00019
79.0 0.00019 0.0 0.00019
80.0 0.00019 0.0 0.00019
81.0 0.00019 0.0 0.00019
82.0 0.00019 0.0 0.00019
83.0 0.00019 0.0 0.00019
84.0 0.00019 0.0 0.00019
85.0 0.00019 0.0 0.00019
86.0 0.00019 0.0 0.00019
87.0 0.00019 0.0 0.00019
88.0 0.00988 0.0 0.00019
89.0 0.00988 0.0 0.00019
90.0 0.00988 0.0 0.00019
91.0 0.00988 0.0 0.00019
92.0 0.00988 0.0 0.00019
93.0 0.00988 0.0 0.00019
94.0 0.00988 0.0 0.00019
95.0 0.00988 0.0 0.00019
96.0 0.00988 0.0 0.00019
97.0 0.00988 0.0 0.00019
98.0 0.00988 0.0 0.00019
99.0 0.00988 0.0 0.00019
100.0 0.00988 0.0 0.00019
101.0 0.00988 0.0 0.00019
102.0 0.00988 0.0 0.00019
103.0 0.00988 0.0 0.00019
104.0 0.00988 0.0 0.00019
105.0 0.00988 9.5e-05 0.00019
106.0 0.00988 9.5e-05 0.00019
107.0 0.00988 9.5e-05 0.00038
108.0 0.00988 9.5e-05 0.00038
109.0 0.00988 9.5e-05 0.00038
110.0 0.00988 9.5e-05 0.00038
111.0 0.00988 9.5e-05 0.00038
112.0 0.00988 9.5e-05 0.00038
113.0 0.00988 9.5e-05 0.00038
114.0 0.00988 9.5e-05 0.00038
115.0 0.00988 9.5e-05 0.00038
116.0 0.00988 9.5e-05 0.00038
117.0 0.00988 9.5e-05 0.00038
118.0 0.00988 9.5e-05 0.00038
119.0 0.00988 9.5e-05 0.00038
120.0 0.00988 9.5e-05 0.00038
121.0 0.00988 9.5e-05 0.00038
122.0 0.00988 9.5e-05 0.00038
123.0 0.00988 9.5e-05 0.00038
124.0 0.00988 9.5e-05 0.00038
125.0 0.00988 9.5e-05 0.00038
126.0 0.00988 9.5e-05 0.00038
127.0 0.00988 9.5e-05 0.00038
128.0 0.00988 9.5e-05 0.00038
129.0 0.00988 9.5e-05 0.00038
130.0 0.00988 9.5e-05 0.00038
131.0 0.00988 9.5e-05 0.00038
132.0 0.00988 9.5e-05 0.00038
133.0 0.00988 9.5e-05 0.00038
134.0 0.00988 9.5e-05 0.00038
135.0 0.00988 9.5e-05 0.00038
136.0 0.00988 9.5e-05 0.00038
137.0 0.00988 9.5e-05 0.00038
138.0 0.00988 9.5e-05 0.00038
139.0 0.00988 9.5e-05 0.00038
140.0 0.00988 9.5e-05 0.00038
141.0 0.00988 9.5e-05 0.00038
142.0 0.00988 9.5e-05 0.00038
143.0 0.00988 9.5e-05 0.00038
144.0 0.00988 9.5e-05 0.00038
145.0 0.00988 9.5e-05 0.00038
146.0 0.00988 9.5e-05 0.00038
147.0 0.00988 9.5e-05 0.00038
148.0 0.00988 9.5e-05 0.00038
149.0 0.00988 9.5e-05 0.00038
150.0 0.00988 9.5e-05 0.00038
151.0 0.00988 9.5e-05 0.00038
152.0 0.00988 9.5e-05 0.00038
153.0 0.00988 9.5e-05 0.00038
154.0 0.00988 9.5e-05 0.00038
155.0 0.00988 9.5e-05 0.00038
156.0 0.00988 9.5e-05 0.00038
157.0 0.00988 9.5e-05 0.00038
158.0 0.00988 9.5e-05 0.00038
159.0 0.00988 9.5e-05 0.00038
160.0 0.00988 9.5e-05 0.00038
161.0 0.00988 9.5e-05 0.00038
162.0 0.00988 9.5e-05 0.00038
163.0 0.00988 9.5e-05 0.00038
164.0 0.00988 9.5e-05 0.00038
165.0 0.00988 9.5e-05 0.00038
166.0 0.00988 9.5e-05 0.00038
167.0 0.00988 9.5e-05 0.00038
168.0 0.00988 9.5e-05 0.00038
169.0 0.00988 9.5e-05 0.00038
170.0 0.00988 9.5e-05 0.00038
171.0 0.00988 9.5e-05 0.00038
172.0 0.00988 9.5e-05 0.00038
173.0 0.00988 9.5e-05 0.00038
174.0 0.00988 9.5e-05 0.00038
175.0 0.00988 9.5e-05 0.00038
176.0 0.00988 9.5e-05 0.00038
177.0 0.00988 9.5e-05 0.00038
178.0 0.00988 9.5e-05 0.00038
179.0 0.00988 9.5e-05 0.00038
180.0 0.00988 9.5e-05 0.00038
181.0 0.00988 9.5e-05 0.00038
182.0 0.00988 9.5e-05 0.00038
183.0 0.00988 9.5e-05 0.00038
184.0 0.00988 9.5e-05 0.00038
185.0 0.00988 9.5e-05 0.00038
186.0 0.00988 9.5e-05 0.00038
187.0 0.00988 9.5e-05 0.00038
188.0 0.00988 9.5e-05 0.00038
189.0 0.00988 9.5e-05 0.00038
190.0 0.00988 9.5e-05 0.00038
191.0 0.00988 9.5e-05 0.00038
192.0 0.00988 9.5e-05 0.00038
193.0 0.00988 9.5e-05 0.00038
194.0 0.00988 9.5e-05 0.00038
195.0 0.00988 9.5e-05 0.00038
196.0 0.00988 9.5e-05 0.00038
197.0 0.00988 9.5e-05 0.00038
198.0 0.00988 9.5e-05 0.00038
199.0 0.00988 9.5e-05 0.00038
200.0 0.00988 9.5e-05 0.00038
201.0 0.00988 9.5e-05 0.00038
202.0 0.00988 9.5e-05 0.00038
203.0 0.00988 9.5e-05 0.00038
204.0 0.00988 9.5e-05 0.00038
205.0 0.00988 9.5e-05 0.00038
206.0 0.00988 9.5e-05 0.00038
207.0 0.00988 9.5e-05 0.00038
208.0 0.00988 9.5e-05 0.00038
209.0 0.00988 9.5e-05 0.00038
210.0 0.00988 9.5e-05 0.00038
211.0 0.00988 9.5e-05 0.00038
212.0 0.00988 9.5e-05 0.00038
213.0 0.00988 9.5e-05 0.00038
214.0 0.00988 9.5e-05 0.00038
215.0 0.00988 9.5e-05 0.00038
216.0 0.00988 9.5e-05 0.00038
217.0 0.00988 9.5e-05 0.00038
218.0 0.00988 9.5e-05 0.00038
219.0 0.00988 9.5e-05 0.00038
220.0 0.00988 9.5e-05 0.00038
221.0 0.00988 9.5e-05 0.00038
222.0 0.00988 9.5e-05 0.00038
223.0 0.00988 9.5e-05 0.00038
224.0 0.00988 9.5e-05 0.00038
225.0 0.00988 9.5e-05 0.00038
226.0 0.00988 9.5e-05 0.00038
